fullName,Player_learned_embedding,Total_Runs_Scored_per_match,Total_Runs_Scored_per_T20_match,strike_rate_Global,strike_rate_T20,avg_fours_per_T20_match,avg_sixes_per_T20_match,avg_fantasy_point_scored_in_T20_match,Balls_Played,Avg_Balls_Thrown_per_T20_match,avg_dot_balls_per_T20_match,avg_median_overs_per_T20_match,avg_run_conceded_per_T20,avg_wickets_taken_per_match,avg_economyRate_per_match,avg_fielding_FP,total_centuries,total_halftcenturies
Andrew Symonds,,27.055555555555557,27.055555555555557,116.86805555555556,116.86805555555556,2.0555555555555554,1.1388888888888888,59.666666666666664,20.833333333333332,17.566666666666666,6.866666666666666,3.0,22.466666666666665,0.6666666666666666,8.262333333333334,9.764705882352942,1.0,5.0
Andrew Tye,,7.0,7.0,95.38384615384615,95.38384615384615,0.46153846153846156,0.38461538461538464,48.3,5.846153846153846,22.8,7.466666666666667,4.0,32.63333333333333,1.4,8.677333333333333,7.75,0.0,0.0
Angelo Mathews,,17.238095238095237,17.238095238095237,114.86357142857143,114.86357142857143,1.0476190476190477,0.6904761904761905,43.23913043478261,13.69047619047619,17.977272727272727,5.386363636363637,3.0,24.522727272727273,0.6136363636363636,8.427954545454545,9.333333333333334,0.0,1.0
Aniket Choudhary,,8.333333333333334,8.333333333333334,163.88666666666666,163.88666666666666,0.3333333333333333,0.3333333333333333,39.4,6.666666666666667,20.2,8.4,4.0,28.8,1.0,8.64,0.0,0.0,0.0
Anil Kumble,,2.0588235294117645,2.0588235294117645,71.34294117647059,71.34294117647059,0.17647058823529413,0.0,39.5,2.764705882352941,22.976190476190474,9.452380952380953,4.0,25.19047619047619,1.0714285714285714,6.5840476190476185,9.0,0.0,0.0
Anirudh Singh,,15.75,15.75,69.39,69.39,1.5,0.25,24.375,16.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
Ankeet Chavan,,4.0,4.0,116.66333333333334,116.66333333333334,0.6666666666666666,0.0,24.923076923076923,3.6666666666666665,19.076923076923077,8.461538461538462,3.0,25.076923076923077,0.6153846153846154,8.14076923076923,8.0,0.0,0.0
Ankit Bawne,,12.0,12.0,100.0,100.0,1.0,0.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ankit Rajpoot,,3.7142857142857144,3.7142857142857144,61.33571428571429,61.33571428571429,0.2857142857142857,0.14285714285714285,29.448275862068964,5.857142857142857,18.24137931034483,7.344827586206897,3.0,28.06896551724138,0.8275862068965517,9.596551724137932,9.0,0.0,0.0
Ankit Sharma,,8.7,8.7,103.85999999999999,103.85999999999999,0.7,0.4,27.818181818181817,6.7,17.476190476190474,6.619047619047619,3.0,21.428571428571427,0.5714285714285714,8.096666666666668,9.6,0.0,0.0
Ankit Soni,,2.3333333333333335,2.3333333333333335,116.66666666666667,116.66666666666667,0.0,0.3333333333333333,16.5,3.0,18.166666666666668,6.333333333333333,3.0,24.0,0.3333333333333333,8.938333333333334,8.0,0.0,0.0
Anmolpreet Singh,,19.142857142857142,19.142857142857142,119.67428571428572,119.67428571428572,2.5714285714285716,0.42857142857142855,30.0,15.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Anrich Nortje,,3.4615384615384617,3.4615384615384617,90.84076923076924,90.84076923076924,0.46153846153846156,0.0,44.8,3.1538461538461537,23.05,9.725,4.0,32.0,1.325,8.4125,7.777777777777778,0.0,0.0
