Season,Teams,Date,Stadium,Time
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs RAJASTHAN ROYALS, 10th match",N/A,"M.Chinnaswamy Stadium, Bengaluru",
IPL 2010,"DELHI CAPITALS vs CHENNAI SUPER KINGS, 11th match",N/A,"Arun Jaitley Stadium, Delhi",
IPL 2010,"DECCAN CHARGERS vs PUNJAB KINGS, 12th match",N/A,"Barabati Stadium, Cuttack",
IPL 2010,"RAJASTHAN ROYALS vs KOLKATA KNIGHT RIDERS, 13th match",N/A,"Narendra Modi Stadium, Ahmedabad",
IPL 2010,"MUMBAI INDIANS vs ROYAL CHALLENGERS BENGALURU, 14th match",N/A,"Brabourne Stadium, Mumbai",
IPL 2010,"DECCAN CHARGERS vs DELHI CAPITALS, 15th match",N/A,"Barabati Stadium, Cuttack",
IPL 2010,"CHENNAI SUPER KINGS vs PUNJAB KINGS, 16th match",N/A,"MA Chidambaram Stadium, Chennai",
IPL 2010,"MUMBAI INDIANS vs KOLKATA KNIGHT RIDERS, 17th match",N/A,"Brabourne Stadium, Mumbai",
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs CHENNAI SUPER KINGS, 18th match",N/A,"M.Chinnaswamy Stadium, Bengaluru",
IPL 2010,"PUNJAB KINGS vs RAJASTHAN ROYALS, 19th match",N/A,"Punjab Cricket Association IS Bindra Stadium, Mohali",
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs DELHI CAPITALS, 20th match",N/A,"M.Chinnaswamy Stadium, Bengaluru",
IPL 2010,"MUMBAI INDIANS vs CHENNAI SUPER KINGS, 21st match",N/A,"Brabourne Stadium, Mumbai",
IPL 2010,"RAJASTHAN ROYALS vs DECCAN CHARGERS, 22nd match",N/A,"Narendra Modi Stadium, Ahmedabad",
IPL 2010,"PUNJAB KINGS vs KOLKATA KNIGHT RIDERS, 23rd match",N/A,"Punjab Cricket Association IS Bindra Stadium, Mohali",
IPL 2010,"RAJASTHAN ROYALS vs CHENNAI SUPER KINGS, 24th match",N/A,"Narendra Modi Stadium, Ahmedabad",
IPL 2010,"DECCAN CHARGERS vs MUMBAI INDIANS, 25th match",N/A,"Dr DY Patil Sports Academy, Navi Mumbai",
IPL 2010,"DELHI CAPITALS vs KOLKATA KNIGHT RIDERS, 26th match",N/A,"Arun Jaitley Stadium, Delhi",
IPL 2010,"MUMBAI INDIANS vs PUNJAB KINGS, 27th match",N/A,"Brabourne Stadium, Mumbai",
IPL 2010,"CHENNAI SUPER KINGS vs ROYAL CHALLENGERS BENGALURU, 28th match",N/A,"MA Chidambaram Stadium, Chennai",
IPL 2010,"DELHI CAPITALS vs RAJASTHAN ROYALS, 29th match",N/A,"Arun Jaitley Stadium, Delhi",
IPL 2010,"KOLKATA KNIGHT RIDERS vs DECCAN CHARGERS, 30th match",N/A,"Eden Gardens, Kolkata",
IPL 2010,"PUNJAB KINGS vs ROYAL CHALLENGERS BENGALURU, 31st match",N/A,"Punjab Cricket Association IS Bindra Stadium, Mohali",
IPL 2010,"CHENNAI SUPER KINGS vs RAJASTHAN ROYALS, 32nd match",N/A,"MA Chidambaram Stadium, Chennai",
IPL 2010,"MUMBAI INDIANS vs DECCAN CHARGERS, 33rd match",N/A,"Brabourne Stadium, Mumbai",
IPL 2010,"KOLKATA KNIGHT RIDERS vs PUNJAB KINGS, 34th match",N/A,"Eden Gardens, Kolkata",
IPL 2010,"DELHI CAPITALS vs ROYAL CHALLENGERS BENGALURU, 35th match",N/A,"Arun Jaitley Stadium, Delhi",
