venue_id,venue_long,venue_lat,venue_name,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets
311,28.317947,-26.195204,"Willowmoore Park, Benoni",23,2901,278,44,157,25
3610,0,0,Vanuatu Cricket Ground,10,1290,146,28,87,8
3348,0,0,Sano International Cricket Ground,25,2101,333,94,158,24
2034,,,"St Albans Club, Buenos Aires",13,1227,179,47,99,12
325,,,"Belgrano Athletic Club Ground, Buenos Aires",10,1215,128,47,46,12
267,,,"Hurlingham Club Ground, Buenos Aires",15,1518,252,51,126,20
2587,0,0,"Mission Road Ground, Mong Kok, Hong Kong",24,2902,322,62,191,29
3632,0,0,Europa Sports Complex,17,2047,234,62,115,19
3634,0,0,"Solvangs Park, Glostrup",2,194,34,6,20,3
3083,0,0,"Goldenacre, Edinburgh",12,1524,158,31,102,11
2198,0,0,"Bayuemas Oval, Kuala Lumpur",51,4441,690,207,304,67
45,-0.114722,51.483738,"Kennington Oval, London",94,13430,1098,216,718,52
2815,0,0,"Shaheed Veer Narayan Singh International Stadium, Raipur",21,2829,266,42,172,8
3644,0,0,"GB Oval, Szodliget",2,188,32,3,24,1
3638,0,0,Zhejiang University of Technology Cricket Field,6,698,74,13,52,5
3412,0,0,"Tafawa Balewa Square Cricket Oval, Lagos",24,2100,366,86,179,39
3433,0,0,Mulpani Cricket Ground,13,1761,167,38,96,11
2420,,,"St George's College Ground, Buenos Aires",12,906,180,56,76,24
3473,0,0,Udayana Cricket Ground,28,3128,344,67,214,20
3640,96.986351,32.768219,"Grand Prairie Stadium, Dallas",7,1011,91,15,51,15
3662,0,0,"Nassau County International Cricket Stadium, New York",8,788,107,19,72,4
680,-61.21212,13.142126,"Arnos Vale Ground, Kingstown, St Vincent",8,980,136,23,80,5
3666,0,0,University of Doha for Science and Technology,11,1440,156,38,88,7
2608,0,0,"Achimota Senior Secondary School A Field, Accra",8,970,106,36,47,7
2609,0,0,"Achimota Senior Secondary School B Field, Accra",6,625,94,22,46,5
3599,0,0,Prairie View Cricket Complex,7,1004,89,14,52,11
2615,0,0,La Manga Club Top Ground,2,321,30,5,18,2
3518,0,0,Los Reyes Polo Club,4,303,73,33,22,5
3597,0,0,Dreux Sport Cricket Club,7,863,107,20,62,12
3566,0,0,Roma Cricket Ground,12,1375,175,51,98,13
3673,0,0,"Simar Cricket Ground, Rome",12,1554,180,32,107,5
3686,0,0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",1,124,13,4,7,0
2390,,,"Guernsey Rovers Athletic Club Ground, Port Soif",13,1449,196,29,116,15
3617,0,0,"Sikh Union Club Ground, Nairobi",11,1471,138,26,87,10
3679,0,0,"Mladost Cricket Ground, Zagreb",5,441,72,16,41,7
2707,0,0,"Faleata Oval No 2, Apia",12,1546,163,38,94,4
1962,0,0,"Selangor Turf Club, Kuala Lumpur",7,892,94,13,51,9
2394,,,"Gymkhana Club Ground, Dar-es-Salaam",7,403,102,49,30,14
2075,,,University of Dar-es-Salaam Ground,7,371,84,33,30,11
2979,0,0,"Yeonhui Cricket Ground, Incheon",34,2614,458,131,140,64
1545,,,"Maple Leaf North-West Ground, King City",8,928,125,18,74,8
1434,80.633949,7.859535,Rangiri Dambulla International Stadium,5,654,77,20,36,8
3609,0,0,Sao Fernando Polo and Cricket Club,2,210,29,5,20,1
3692,0,0,Gelephu International Cricket Ground,9,921,118,25,64,11
1068,,,"Ruaraka Sports Club Ground, Nairobi",6,780,85,27,33,12
3694,0,0,"TCA Oval, Blantyre",3,266,38,8,23,3
1715,,,Jinja Cricket Ground,2,168,25,9,10,4
3700,0,0,"Nigeria Cricket Federation Oval 1, Abuja",7,707,83,34,25,10
3701,0,0,"Nigeria Cricket Federation Oval 2, Abuja",8,750,107,34,48,15
3693,0,0,Singapore National Cricket Ground,4,446,43,14,21,4
152,172.654282,-43.541943,"AMI Stadium, Christchurch",3,491,38,14,13,6
213,115.879799,-31.959843,"Western Australia Cricket Association Ground, Perth",36,5046,421,60,284,18
703,24.797304,-28.742569,"De Beers Diamond Oval, Kimberley",20,2959,236,38,143,13
2539,31.029938,-29.828316,"Moses Mabhida Stadium, Durban",1,150,15,3,8,2
1803,151.0634,-33.84697,"Stadium Australia, Sydney",17,2286,214,43,132,7
2502,81.026886,6.353873,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",7,752,90,18,43,8
614,,,Mombasa Sports Club Ground,3,318,41,8,21,3
416,79.883888,6.919412,"P Sara Oval, Colombo",1,66,20,4,8,2
2177,146.731796,-19.31745,"Tony Ireland Stadium, Townsville",2,193,32,6,24,2
1930,89.537048,22.844736,"Sheikh Abu Naser Stadium, Khulna",11,1619,140,41,75,6
1844,90.493126,23.627781,"Khan Shaheb Osman Ali Stadium, Fatullah",2,312,25,6,11,2
393,72.824913,18.932098,"Brabourne Stadium, Mumbai",27,4374,337,60,210,23
2361,73.026726,19.042145,"Dr DY Patil Sports Academy, Mumbai",37,5338,479,60,343,22
3585,0,0,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,795,80,10,56,4
1056,76.301437,9.997727,"Nehru Stadium, Kochi",18,2192,238,47,135,14
2937,0,0,"Dr PVG Raju ACA Sports Complex, Vizianagaram",12,1844,166,22,103,13
2995,88.372147,22.497585,"Jadavpur University Campus 2nd Ground, Kolkata",11,1597,147,17,91,9
3441,0,0,"Devineni Venkata Ramana Praneetha Ground, Mulapadu",23,2877,291,47,161,26
3452,0,0,"Chukkapalli Pitchaiah Cricket Ground, Mulapadu",8,1261,74,10,43,8
1012,0,0,"Lalabhai Contractor Stadium, Surat",32,4272,390,81,198,36
3471,0,0,"CB Patel International Cricket Stadium, Surat",25,3042,312,40,183,20
2139,0,0,"Emerald High School Ground, Indore",22,2962,290,40,171,25
2669,0,0,"DRIEMS Ground, Tangi, Cuttack",17,2436,192,24,129,16
527,0,0,"Palam A Ground, Model Sports Complex, Delhi",21,2260,227,48,116,26
1921,0,0,"Palam B Ground, Model Sports Complex, Delhi",14,1680,146,32,70,16
3345,0,0,"St Xavier's College Ground, Thumba",7,713,84,8,55,4
621,76.775055,30.741581,"Sector 16 Stadium, Chandigarh",13,1550,133,21,78,11
3510,0,0,Government Model Senior Secondary School,12,1755,150,23,106,7
2409,0,0,"Bandra Kurla Complex, Mumbai",22,2810,256,34,173,14
2702,77.447342,13.088998,"KSCA Cricket Ground, Alur",6,869,67,11,37,9
3269,0,0,"KSCA Cricket (2) Ground, Alur",5,660,61,12,34,6
2945,0,0,"KSCA Cricket (3) Ground, Alur",4,582,35,4,25,2
1929,0,0,"Jadavpur University Complex, Kolkata",4,598,42,5,28,2
515,73.190086,22.289972,"Moti Bagh Stadium, Vadodara",13,1395,199,30,123,12
3552,0,0,"F.B. Colony Ground, Vadodara",11,1465,139,19,94,7
991,73.140457,22.34844,"Reliance Stadium, Vadodara",18,2418,236,27,157,13
3135,0,0,"Sri Sivasubramaniya Nadar College of Engineering Ground, Chennai",5,470,68,9,34,10
2484,80.114609,13.126188,"TI Cycles Ground, Murugappa, Chennai",5,552,70,13,36,9
1872,,,"Sri Ramachandra Medical College Ground, Chennai",5,542,36,4,24,2
1042,0,0,"India Cement Limited Guru Nanak College Ground, Chennai",3,410,41,7,24,2
3517,0,0,Ekana Cricket Stadium B Ground,5,686,68,7,40,6
686,91.758118,26.180126,"Nehru Stadium, Guwahati",4,491,56,12,26,6
3575,0,0,"Gurgaon Cricket Ground (SRNCC), Sultanpur",8,1164,103,22,52,8
2112,0,0,"CH Bansi Lal Cricket Stadium, Lahli, Rohtak",4,570,53,6,36,3
3576,0,0,"Andhra Cricket Association Stadium, Mangalagiri",7,889,82,13,42,7
3191,0,0,"Abhimanyu Cricket Academy, Dehradun",10,1277,114,39,47,18
367,79.076088,21.157253,"Vidarbha Cricket Association Ground, Nagpur",7,832,89,12,63,6
3047,0,0,"St Paul's College Ground, Kochi",7,865,94,15,64,4
1908,,,"Alembic Ground, Vadodara",3,465,35,4,23,3
2967,151.06749,-33.843254,Sydney Showground Stadium,37,4826,441,80,285,34
1177,144.94751,-37.816391,"Docklands Stadium, Melbourne",69,10067,853,151,556,52
3009,0,0,"Aurora Stadium, Launceston",11,1383,139,19,96,14
1301,133.875046,-23.709005,"Traeger Park, Alice Springs",2,215,32,7,19,3
1344,,,Geelong Cricket Ground,1,138,14,2,9,3
3466,0,0,"Ted Summerton Reserve, Moe",2,270,25,10,13,0
1599,153.095718,-30.323004,"International Sports Stadium, Coffs Harbour",4,607,44,10,30,1
417,144.980164,-37.855984,"Junction Oval, Melbourne",2,338,33,5,23,2
1066,145.749069,-16.935534,"Cazaly's Stadium, Cairns",1,148,13,2,10,0
938,146.912201,-36.034893,"Lavington Sports Oval, Albury",2,344,31,8,19,0
952,0,0,"North Sydney Oval, Sydney",1,69,6,2,4,0
476,91.824219,22.34642,"MA Aziz Stadium, Chittagong",7,952,109,22,56,6
197,30.380833,-29.610365,"City Oval, Pietermaritzburg",2,318,20,4,12,2
3329,0,0,"Skarpnack 1, Stockholm",2,162,15,4,7,2
3331,0,0,"Skarpnack 2, Stockholm",2,180,32,8,17,1
2179,,,Johor Cricket Academy Oval,3,331,26,5,10,4
2118,,,"Jaffery Sports Club Ground, Nairobi",2,259,26,2,21,1
2546,0,0,"New Williamfield No1 Oval, Stirling",4,491,41,12,17,5
2562,0,0,"Windhoek Afrikaans Primary School Ground, Windhoek",1,85,11,3,6,2
2586,0,0,"Asian Institute of Technology Ground, Bangkok",15,1081,167,42,78,22
2446,47.827141,29.287975,"Sulabiya Ground, Kuwait City",8,915,117,31,61,8
2243,47.812904,29.353086,"Tack-Tec Ground, Kuwait City",9,1064,104,33,56,9
3450,0,0,"Albert Park 1, Suva",5,610,78,14,46,3
3451,0,0,"Albert Park 2, Suva",6,803,77,17,47,9
2180,,,"Sportpark Het Schootsveld 2, Deventer",1,131,11,2,8,1
1324,,,"Sportpark Thurlede, Schiedam",6,568,78,17,35,11
3456,0,0,"Church Street Park, Morrisville",10,778,109,34,44,15
2588,0,0,Hong Kong Cricket Club,1,99,15,8,6,1
2612,0,0,"Botswana Cricket Association Oval 2, Gaborone",8,905,103,30,52,6
2611,0,0,"Botswana Cricket Association Oval 1, Gaborone",7,722,79,28,44,7
3464,0,0,"Friendship Oval, Dasmarinas",11,1254,149,43,88,12
2382,0,0,"Sea Breeze Oval, Hamilton",1,168,16,3,8,1
1996,0,0,"YMCA Cricket Club, Dublin",3,311,35,4,18,2
1410,0,0,"Merrion Cricket Club Ground, Dublin",3,176,36,15,8,4
1992,,,"The Vineyard, Dublin",2,150,29,9,10,3
2504,,,Al Dhaid Cricket Village,3,452,54,11,29,6
834,,,"Myreside, Edinburgh",4,496,56,12,31,3
2871,0,0,"Sheikh Kamal International Cricket Stadium, Cox's Bazar",2,166,20,4,7,2
318,0.468019,51.731819,"County Ground, Chelmsford",68,10923,872,184,559,48
110,,,"College Ground, Cheltenham",17,2324,218,33,149,16
216,-2.22666,52.189209,"County Ground, New Road, Worcester",66,10304,784,139,537,45
232,-0.871331,52.248531,"County Ground, Northampton",70,10962,850,154,592,42
214,0,0,"Queen's Park, Chesterfield",10,1432,137,25,84,13
953,,,Arundel Castle Cricket Club Ground,4,554,44,13,24,5
144,,,"Aigburth, Liverpool",2,263,22,2,13,5
479,,,"Kent County Cricket Ground, Beckenham",7,1121,83,13,60,3
112,-0.164167,50.82999,"County Ground, Hove",70,10529,896,187,567,63
789,,,Uxbridge Cricket Club Ground,6,951,74,15,49,2
47,1.091778,51.267605,"St Lawrence Ground, Canterbury",67,10298,817,177,513,48
1241,0,0,"Old Deer Park, Richmond",7,1071,82,17,58,7
195,-1.142824,52.607582,"Grace Road, Leicester",69,9927,850,186,533,47
108,-1.45882,52.927433,"County Ground, Derby",51,7600,639,117,427,36
2116,0,0,"Radlett Cricket Club, Radlett",8,1345,103,16,73,4
235,,,"Stanley Park, Blackpool",3,397,32,1,25,2
2036,0,0,"Merchant Taylors' School Ground, Northwood",4,703,51,8,31,2
287,,,"Castle Park Cricket Ground, Colchester",1,172,16,2,12,0
220,0.26826,51.122303,"Nevill Ground, Tunbridge Wells",2,347,25,9,12,1
