player_id,name,matches,strike rate in all matches combined,Total Runs Scored in all matches combined,no. of fours,no. of sixes,highest runs scored in a match,Balls Played till now,no. of dot_balls,maiden_overs,run conceded,Average Economy Rate,no. of wickets,no. of balls thrown,highest wickets taken in a match,total centuries,total halfcenturies,total catches,total stumps,total direct_runouts,total indirect_runouts,total avg fp
495d42a5,R Ashwin,62,,184,17,4,31,158,574,3,1632,7.33,67,1380,4,0,0,9,0,0,2,47.37
89f64c19,LMP Simmons,63,0.0,1473,135,66,91,1208,12,0,72,0.0,6,43,4,0,9,34,0,2,3,48.778
76388dc8,S Badree,48,,41,1,1,14,62,497,4,1130,6.549,50,1056,4,0,0,7,0,1,1,45.914
bd17b45f,STR Binny,3,,35,2,1,24,29,10,0,55,14.5,1,30,1,0,0,0,0,0,0,33.333
09a9d073,J Charles,58,106.003,1294,139,61,118,989,0,0,0,0.0,0,0,0,1,6,20,2,0,1,44.344
fd2bf2a0,Umar Akmal,83,,1669,123,53,94,1352,0,0,0,0.0,0,0,0,0,8,50,2,2,9,38.302
64c34cd0,Shoaib Malik,110,,2129,175,59,75,1684,175,0,631,7.959,23,504,2,0,7,45,0,1,1,42.405
3241e3fd,N Pooran,105,122.153,2177,146,141,82,1610,0,0,0,0.0,0,0,0,0,12,62,8,2,9,43.532
5eea345c,Khalid Latif,12,92.418,237,25,6,59,224,0,0,0,0.0,0,0,0,0,1,4,0,1,0,36.083
3086f7a4,Mohammad Nawaz (3),57,,468,37,24,45,346,387,1,1318,7.476,49,1048,3,0,0,25,0,0,1,50.175
b3118300,Wahab Riaz,36,,154,10,7,30,123,281,2,991,8.469,34,710,3,0,0,6,0,0,1,43.306
64d43928,Sohail Tanvir,49,,184,16,7,41,156,446,0,1285,7.688,44,1028,3,0,0,6,0,0,3,42.204
9cb8d7a6,Imad Wasim,71,,459,50,10,47,328,624,1,1541,6.407,69,1464,5,0,0,22,0,4,3,53.522
2911de16,Hasan Ali,50,,129,7,11,23,66,386,3,1455,8.536,59,1009,4,0,0,12,0,3,0,48.679
2254ab79,Sarfraz Ahmed,61,,818,79,16,89,652,0,0,0,0.0,0,0,0,0,3,36,10,2,3,29.446
193ef196,Sharjeel Khan,20,127.055,388,51,14,59,288,0,0,0,0.0,0,0,0,0,2,6,0,0,0,39.001
8a75e999,Babar Azam,126,113.085,4172,443,73,122,3211,0,0,0,0.0,0,0,0,3,38,50,0,0,4,58.812
1c790f4f,Rumman Raees,8,,0,0,0,0,0,76,2,222,7.757,8,173,2,0,0,1,0,0,1,43.75
e174dadd,Mohammad Amir,62,,65,3,3,21,75,625,4,1634,7.467,71,1328,4,0,0,10,0,0,2,47.405
b61a3e1a,LRPL Taylor,89,118.344,1733,113,61,76,1405,0,0,0,0.0,0,0,0,0,6,35,0,0,1,34.325
