match_id,venue_name,city,venue_lat,venue_long
935305,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935323,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935325,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935327,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935329,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935331,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935333,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935335,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935337,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935339,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935341,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935343,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935345,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935347,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935349,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1094673,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,0.0,0.0
1094674,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,0.0,0.0
1094675,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,0.0,0.0
1094676,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,0.0,0.0
1094702,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1094703,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1094704,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1094705,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1148657,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,0.0,0.0
1148658,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,0.0,0.0
1148660,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,0.0,0.0
1148679,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1148680,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1185869,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1185870,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227865,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227866,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227867,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227868,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227869,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,0.0,0.0
1227870,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227871,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227872,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227873,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227874,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227885,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227886,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227887,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227888,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227889,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227890,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227891,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227892,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227893,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227894,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227895,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227896,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1227897,"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
1323163,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,0.0,0.0
1323164,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,0.0,0.0
1323165,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,0.0,0.0
1323166,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,0.0,0.0
1369578,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,0.0,0.0
1369579,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,0.0,0.0
1369580,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,0.0,0.0
1369581,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,0.0,0.0
1428702,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,0.0,0.0
1428703,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,0.0,0.0
994677,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,0.0,0.0
994679,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,0.0,0.0
994681,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,0.0,0.0
994683,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,0.0,0.0
994685,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,0.0,0.0
994687,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,0.0,0.0
1359477,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,0.0,0.0
1359482,"Barsapara Cricket Stadium, Guwahati",Guwahati,0.0,0.0
