,Credits,Player Type,Player Name,Team,key_cricinfo,identifier,unique_name
196,7.5,WK,Dhruv Jurel,RR,1175488,bcf325d2,Dhruv Jurel
197,6.0,BOWL,Kumar Kartikeya,RR,1159843,f6d8a7ab,K Kartikeya
198,9.0,BAT,Yashasvi Jaiswal,RR,1151278,6c19c6e5,YBK Jaiswal
199,7.0,BOWL,FazalHaq Farooqi,RR,974175,e9c7f0d0,Fazalhaq Farooqi
200,8.0,ALL,Riyan Parag,RR,1079434,04a418e8,R Parag
201,7.5,BOWL,Tushar Deshpande,RR,822553,46a9bea1,TU Deshpande
202,8.0,BOWL,Jofra Archer,RR,669855,5574750c,JC Archer
203,8.5,ALL,Wanindu Hasaranga,RR,784379,a97c8ec2,PWH de Silva
204,7.5,ALL,Nitish Rana,RR,604527,fb2d1dda,N Rana
205,7.5,BAT,Shimron Hetmyer,RR,670025,48a1d7b7,SO Hetmyer
206,7.5,BOWL,Sandeep Sharma,RR,438362,ce820073,Sandeep Sharma
207,9.0,WK,Sanju Samson,RR,425943,a4cc73aa,SV Samson
208,5.0,BAT,Aniket Verma,SRH,1409976,a3b0600d,Aniket Verma
209,6.0,BOWL,Eshan Malinga,SRH,1306214,5750bcb4,E Malinga
210,8.0,ALL,K Nitish Reddy,SRH,1175496,aad0c365,Nithish Kumar Reddy
211,6.5,BAT,Abhinav Manohar,SRH,778963,0890552f,A Manohar
212,6.5,BAT,Atharva Taide,SRH,1125958,1ac746c8,Atharva Taide
213,6.0,BOWL,Simarjeet- Singh,SRH,1159722,30df8c66,Simarjeet Singh
214,6.5,BOWL,Rahul Chahar,SRH,1064812,2ed569a0,RD Chahar
215,8.5,ALL,Abhishek Sharma,SRH,1070183,f29185a1,Abhishek Sharma
216,7.0,BAT,Kamindu Mendis,SRH,784373,08548b13,PHKD Mendis
217,7.0,ALL,Wiaan Mulder,SRH,698189,c96f6ac5,PWA Mulder
218,5.5,BOWL,Zeeshan Ansari,SRH,942371,36619795,Zeeshan Ansari
219,8.0,WK,Ishan Kishan,SRH,720471,752f7486,Ishan Kishan
220,9.0,WK,Heinrich Klaasen,SRH,436757,235c2bb6,H Klaasen
221,6.5,BAT,Sachin Baby,SRH,432783,dc9dd038,Sachin Baby
222,9.0,BAT,Travis Head,SRH,530011,12b610c2,TM Head
223,7.5,BOWL,Adam Zampa,SRH,379504,14f96089,A Zampa
224,8.0,BOWL,Harshal Patel,SRH,390481,f986ca1a,HV Patel
225,8.5,BOWL,Pat Cummins,SRH,489889,ded9240e,PJ Cummins
226,8.5,BOWL,Mohammed Shami,SRH,481896,8cf9814c,Mohammed Shami
227,7.0,BOWL,Jaydev Unadkat,SRH,390484,1e66c162,JD Unadkat
