,match_id,venue_id,venue_name,venue_lat,venue_long,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets
245,1226873,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
246,1226874,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
247,1226875,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
248,1226876,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
249,1226877,950,Carrara Oval,-28.005657,153.367126,20,2818,269,39,186,19
250,1226878,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
251,1226879,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
252,1226880,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
253,1226881,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
254,1226882,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
255,1226883,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
256,1226884,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
257,1226885,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
258,1226886,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
259,1269638,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
260,1269639,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
261,1269640,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
262,1269641,3009,"Aurora Stadium, Launceston",-41.43876,147.13467,11,1383,139,19,96,14
263,1269642,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
264,1269643,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
265,1269644,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
266,1269645,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
267,1269646,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
268,1269647,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
269,1269648,950,Carrara Oval,-28.005657,153.367126,20,2818,269,39,186,19
270,1269649,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
271,1269650,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
272,1269651,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
273,1269652,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
274,1269653,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
275,1269654,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
276,1269655,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
277,1269656,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
278,1269657,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
279,1269658,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
280,1269659,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
281,1269660,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
282,1269661,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
283,1269662,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
284,1269663,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
285,1269664,564,"GMHBA Stadium, South Geelong, Victoria",-38.157318,144.3535,18,2222,225,42,150,19
286,1269665,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
287,1269666,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
288,1269668,417,"Junction Oval, Melbourne",-37.855984,144.980164,2,338,33,5,23,2
289,1269669,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
290,1269670,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
