match_id,season,match_name,venue,home_team,away_team
1216496,2020,RR v CSK,Sharjah Cricket Stadium,RR,CSK
1216508,2020,KKR v MI,"Sheikh Zayed Stadium, Abu Dhabi",KKR,MI
1216510,2020,PBKS v RCB,Dubai International Cricket Stadium,PBKS,RCB
1216539,2020,CSK v DC,Dubai International Cricket Stadium,CSK,DC
1216545,2020,KKR v SRH,"Sheikh Zayed Stadium, Abu Dhabi",KKR,SRH
1216527,2020,RR v PBKS,Sharjah Cricket Stadium,RR,PBKS
1216547,2020,RCB v MI,Dubai International Cricket Stadium,RCB,MI
1216532,2020,DC v SRH,"Sheikh Zayed Stadium, Abu Dhabi",DC,SRH
1216504,2020,RR v KKR,Dubai International Cricket Stadium,RR,KKR
1216503,2020,PBKS v MI,"Sheikh Zayed Stadium, Abu Dhabi",PBKS,MI
1216516,2020,CSK v SRH,Dubai International Cricket Stadium,CSK,SRH
1216514,2020,RCB v RR,"Sheikh Zayed Stadium, Abu Dhabi",RCB,RR
1216515,2020,DC v KKR,Sharjah Cricket Stadium,DC,KKR
1216538,2020,MI v SRH,Sharjah Cricket Stadium,MI,SRH
1216513,2020,PBKS v CSK,Dubai International Cricket Stadium,PBKS,CSK
1216519,2020,RCB v DC,Dubai International Cricket Stadium,RCB,DC
1216511,2020,MI v RR,"Sheikh Zayed Stadium, Abu Dhabi",MI,RR
1216501,2020,KKR v CSK,"Sheikh Zayed Stadium, Abu Dhabi",KKR,CSK
1216542,2020,SRH v PBKS,Dubai International Cricket Stadium,SRH,PBKS
1216500,2020,RR v DC,Sharjah Cricket Stadium,RR,DC
1216523,2020,PBKS v KKR,"Sheikh Zayed Stadium, Abu Dhabi",PBKS,KKR
1216525,2020,CSK v RCB,Dubai International Cricket Stadium,CSK,RCB
1216507,2020,SRH v RR,Dubai International Cricket Stadium,SRH,RR
1216529,2020,MI v DC,"Sheikh Zayed Stadium, Abu Dhabi",MI,DC
1216540,2020,RCB v KKR,Sharjah Cricket Stadium,RCB,KKR
1216528,2020,SRH v CSK,Dubai International Cricket Stadium,SRH,CSK
1216543,2020,DC v RR,Dubai International Cricket Stadium,DC,RR
1216531,2020,RCB v PBKS,Sharjah Cricket Stadium,RCB,PBKS
1216526,2020,MI v KKR,"Sheikh Zayed Stadium, Abu Dhabi",MI,KKR
1216522,2020,RR v RCB,Dubai International Cricket Stadium,RR,RCB
1216509,2020,DC v CSK,Sharjah Cricket Stadium,DC,CSK
1216512,2020,SRH v KKR,"Sheikh Zayed Stadium, Abu Dhabi",SRH,KKR
1216517,2020,MI v PBKS,Dubai International Cricket Stadium,MI,PBKS
1216533,2020,CSK v RR,"Sheikh Zayed Stadium, Abu Dhabi",CSK,RR
1216546,2020,PBKS v DC,Dubai International Cricket Stadium,PBKS,DC
1216494,2020,KKR v RCB,"Sheikh Zayed Stadium, Abu Dhabi",KKR,RCB
1216518,2020,RR v SRH,Dubai International Cricket Stadium,RR,SRH
1216521,2020,CSK v MI,Sharjah Cricket Stadium,CSK,MI
1216497,2020,KKR v DC,"Sheikh Zayed Stadium, Abu Dhabi",KKR,DC
1216498,2020,PBKS v SRH,Dubai International Cricket Stadium,PBKS,SRH
1216544,2020,RCB v CSK,Dubai International Cricket Stadium,RCB,CSK
1216541,2020,RR v MI,"Sheikh Zayed Stadium, Abu Dhabi",RR,MI
1216520,2020,KKR v PBKS,Sharjah Cricket Stadium,KKR,PBKS
1216524,2020,SRH v DC,Dubai International Cricket Stadium,SRH,DC
1216499,2020,MI v RCB,"Sheikh Zayed Stadium, Abu Dhabi",MI,RCB
1216536,2020,CSK v KKR,Dubai International Cricket Stadium,CSK,KKR
1216537,2020,PBKS v RR,"Sheikh Zayed Stadium, Abu Dhabi",PBKS,RR
1216535,2020,DC v MI,Dubai International Cricket Stadium,DC,MI
1216502,2020,RCB v SRH,Sharjah Cricket Stadium,RCB,SRH
1216506,2020,CSK v PBKS,"Sheikh Zayed Stadium, Abu Dhabi",CSK,PBKS
1216530,2020,KKR v RR,Dubai International Cricket Stadium,KKR,RR
1216505,2020,DC v RCB,"Sheikh Zayed Stadium, Abu Dhabi",DC,RCB
1216495,2020,SRH v MI,Sharjah Cricket Stadium,SRH,MI
1237177,2020,DC v MI,Dubai International Cricket Stadium,DC,MI
1237178,2020,RCB v SRH,"Sheikh Zayed Stadium, Abu Dhabi",RCB,SRH
1237180,2020,DC v SRH,"Sheikh Zayed Stadium, Abu Dhabi",DC,SRH
1237181,2020,DC v MI,Dubai International Cricket Stadium,DC,MI
1175356,2019,CSK v RCB,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,RCB
1175357,2019,KKR v SRH,"Eden Gardens, Kolkata",KKR,SRH
1175358,2019,MI v DC,"Wankhede Stadium, Mumbai",MI,DC
1175359,2019,RR v PBKS,"Sawai Mansingh Stadium, Jaipur",RR,PBKS
1175360,2019,DC v CSK,"Arun Jaitley Stadium, Delhi",DC,CSK
1175361,2019,KKR v PBKS,"Eden Gardens, Kolkata",KKR,PBKS
1175362,2019,RCB v MI,"M.Chinnaswamy Stadium, Bengaluru",RCB,MI
1175363,2019,SRH v RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,RR
1175364,2019,PBKS v MI,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",PBKS,MI
1175365,2019,DC v KKR,"Arun Jaitley Stadium, Delhi",DC,KKR
1175366,2019,SRH v RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,RCB
1175367,2019,CSK v RR,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,RR
1175368,2019,PBKS v DC,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",PBKS,DC
