season,match_id,match_name,home_team,away_team,venue,batting_team,bowling_innings,bowling_team,fullName,catching_FP,stumping_FP,direct_runout_FP,indirect_runout_FP,Fielding_FP
2023,1359530,KKR v RR,KKR,RR,"Eden Gardens, Kolkata",KKR,1,RR,Sandeep Sharma,8,0,0,0,8
2023,1359530,KKR v RR,KKR,RR,"Eden Gardens, Kolkata",KKR,1,RR,Shimron Hetmyer,16,0,0,0,16
2023,1359530,KKR v RR,KKR,RR,"Eden Gardens, Kolkata",KKR,1,RR,Trent Boult,8,0,0,0,8
2023,1359529,CSK v DC,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,1,DC,Aman Hakim Khan,8,0,0,0,8
2023,1359529,CSK v DC,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,1,DC,Axar Patel,8,0,0,0,8
2023,1359529,CSK v DC,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,1,DC,David Warner,16,0,0,0,16
2023,1359529,CSK v DC,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,1,DC,Mitchell Marsh,8,0,0,0,8
2023,1359529,CSK v DC,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,1,DC,Ripal Patel,8,0,0,0,8
2023,1359529,CSK v DC,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",DC,2,CSK,Ajinkya Rahane,16,0,12,0,28
2023,1359529,CSK v DC,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",DC,2,CSK,Ambati Rayudu,8,0,0,0,8
2023,1359529,CSK v DC,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",DC,2,CSK,Matheesha Pathirana,8,0,0,0,8
2023,1359528,MI v RCB,MI,RCB,"Wankhede Stadium, Mumbai",RCB,1,MI,Cameron Green,8,0,0,0,8
2023,1359528,MI v RCB,MI,RCB,"Wankhede Stadium, Mumbai",RCB,1,MI,Ishan Kishan,8,0,0,0,8
2023,1359528,MI v RCB,MI,RCB,"Wankhede Stadium, Mumbai",RCB,1,MI,Nehal Wadhera,16,0,0,0,16
2023,1359528,MI v RCB,MI,RCB,"Wankhede Stadium, Mumbai",RCB,1,MI,substitute_catch,8,0,0,0,8
2023,1359528,MI v RCB,MI,RCB,"Wankhede Stadium, Mumbai",MI,2,RCB,Anuj Rawat,8,0,0,0,8
2023,1359528,MI v RCB,MI,RCB,"Wankhede Stadium, Mumbai",MI,2,RCB,Glenn Maxwell,8,0,0,0,8
2023,1359528,MI v RCB,MI,RCB,"Wankhede Stadium, Mumbai",MI,2,RCB,Kedar Jadhav,8,0,0,0,8
2023,1359527,KKR v PBKS,KKR,PBKS,"Eden Gardens, Kolkata",PBKS,1,KKR,Rahmanullah Gurbaz,32,0,0,0,36
2023,1359527,KKR v PBKS,KKR,PBKS,"Eden Gardens, Kolkata",PBKS,1,KKR,Vaibhav Arora,8,0,0,0,8
2023,1359527,KKR v PBKS,KKR,PBKS,"Eden Gardens, Kolkata",KKR,2,PBKS,Liam Livingstone,16,0,0,0,16
2023,1359527,KKR v PBKS,KKR,PBKS,"Eden Gardens, Kolkata",KKR,2,PBKS,M Shahrukh Khan,8,0,0,0,8
2023,1359526,RR v SRH,RR,SRH,"Sawai Mansingh Stadium, Jaipur",RR,1,SRH,T Natarajan,8,0,0,0,8
