season,match_id,match_name,home_team,away_team,batting_team,bowling_team,venue,bowling_innings,fullName,overs,total_balls,dots,maidens,conceded,foursConceded,sixesConceded,wickets,economyRate,wides,noballs,LBW,Hitwicket,CaughtBowled,Bowled,Overs_Bowled,Bowling_FP
2023,1359480,CSK v LSG,CSK,LSG,CSK,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",1,Yash Thakur,4.0,24,4,0,36,3,1,0,9.0,0,1,0,0,0,0,"[7, 9, 13, 19]",0
2023,1359480,CSK v LSG,CSK,LSG,CSK,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",1,Ravi Bishnoi,4.0,24,13,0,28,1,2,3,7.0,1,0,0,0,0,0,"[10, 12, 14, 16]",81
2023,1359480,CSK v LSG,CSK,LSG,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",2,Deepak Chahar,4.0,24,6,0,55,7,1,0,13.75,5,0,0,0,0,0,"[1, 3, 5, 17]",-6
2023,1359480,CSK v LSG,CSK,LSG,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",2,Ben Stokes,1.0,6,0,0,18,2,1,0,18.0,0,0,0,0,0,0,[2],0
2023,1359480,CSK v LSG,CSK,LSG,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",2,Tushar Deshpande,4.0,24,7,0,45,2,2,2,11.25,4,3,0,0,0,0,"[4, 16, 18]",46
2023,1359480,CSK v LSG,CSK,LSG,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",2,Moeen Ali,4.0,24,10,0,26,0,1,4,6.5,1,0,0,0,0,1,"[6, 8, 10, 14]",118
2023,1359480,CSK v LSG,CSK,LSG,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",2,Mitchell Santner,4.0,24,9,0,21,0,1,1,5.25,0,0,0,0,0,0,"[7, 9, 11, 13]",29
2023,1359480,CSK v LSG,CSK,LSG,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",2,Rajvardhan Hangargekar,2.0,12,4,0,24,2,1,0,12.0,3,0,0,0,0,0,"[12, 19]",-4
2023,1359480,CSK v LSG,CSK,LSG,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",2,Ravindra Jadeja,1.0,6,2,0,14,0,2,0,14.0,0,0,0,0,0,0,[15],0
2023,1359481,DC v GT,DC,GT,DC,GT,"Arun Jaitley Stadium, Delhi",1,Mohammed Shami,4.0,24,15,0,41,5,1,3,10.25,4,0,0,0,0,1,"[1, 3, 5, 20]",85
2023,1359481,DC v GT,DC,GT,DC,GT,"Arun Jaitley Stadium, Delhi",1,Josh Little,4.0,24,11,0,27,2,1,0,6.75,0,0,0,0,0,0,"[2, 4, 16, 18]",2
2023,1359481,DC v GT,DC,GT,DC,GT,"Arun Jaitley Stadium, Delhi",1,Hardik Pandya,3.0,18,6,0,18,2,0,0,6.0,0,0,0,0,0,0,"[6, 8, 10]",2
2023,1359481,DC v GT,DC,GT,DC,GT,"Arun Jaitley Stadium, Delhi",1,Alzarri Joseph,4.0,24,13,0,29,3,1,2,7.25,1,0,0,0,0,1,"[7, 9, 11, 14]",58
2023,1359481,DC v GT,DC,GT,DC,GT,"Arun Jaitley Stadium, Delhi",1,Yash Dayal,1.0,6,0,0,12,0,1,0,12.0,0,0,0,0,0,0,[12],0
2023,1359481,DC v GT,DC,GT,DC,GT,"Arun Jaitley Stadium, Delhi",1,Rashid Khan,4.0,24,9,0,31,2,2,3,7.75,0,0,0,0,0,1,"[13, 15, 17, 19]",87
