season,match_id,match_name,home_team,away_team,venue,batting_innings,bowling_innings,fullName,Starting_11,Batting_FP,Bowling_FP,Fielding_FP,Total_FP,Dream Team,Captain,Vice Captain
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",1,2,substitute_fielder,4,0,0,16,20,0,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",1,2,Glenn Maxwell,4,14,0,0,18,0,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",1,2,Wayne Parnell,4,0,-6,8,6,0,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",1,2,Mahipal Lomror,4,1,0,0,5,0,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",1,2,Himanshu Sharma,4,0,0,0,4,0,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",1,2,Dinesh Karthik,4,-2,0,0,2,0,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",2,1,Shubman Gill,4,147,0,0,151,1,1,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",2,1,Vijay Shankar,4,76,0,0,80,1,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",2,1,Noor Ahmad,4,0,50,0,54,1,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",2,1,Rashid Khan,4,0,35,0,39,1,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",2,1,Wriddhiman Saha,4,14,0,20,38,1,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",2,1,Mohammed Shami,4,0,33,0,37,1,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",2,1,Yash Dayal,4,0,25,0,29,0,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",2,1,Rahul Tewatia,4,4,0,8,16,0,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",2,1,David Miller,4,7,0,0,11,0,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",2,1,Dasun Shanaka,4,-2,0,0,2,0,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",2,1,Mohit Sharma,4,0,-6,0,-2,0,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",1,2,Mayank Agarwal,4,113,0,0,117,1,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",1,2,Vivrant Sharma,4,92,0,0,96,1,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",1,2,Bhuvneshwar Kumar,4,0,27,0,31,1,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",1,2,Mayank Dagar,4,0,25,0,29,1,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",1,2,Heinrich Klaasen,4,22,0,0,26,1,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",1,2,Aiden Markram,4,15,0,0,19,0,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",1,2,Harry Brook,4,-2,0,8,10,0,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",1,2,Sanvir Singh,4,5,0,0,9,0,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",1,2,Nitish Kumar Reddy,4,0,-4,8,8,0,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",1,2,Glenn Phillips,4,1,0,0,5,0,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",1,2,Kartik Tyagi,4,0,-6,0,-2,0,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",1,2,Umran Malik,4,0,-6,0,-2,0,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",2,1,Cameron Green,4,146,0,0,150,1,1,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",2,1,Akash Madhwal,4,0,124,0,128,1,0,1
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",2,1,Rohit Sharma,4,78,0,0,82,1,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",2,1,Suryakumar Yadav,4,33,0,0,37,1,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",2,1,Ishan Kishan,4,17,0,8,29,1,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",2,1,Chris Jordan,4,0,23,0,27,1,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",2,1,Kumar Kartikeya,4,0,0,8,12,0,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",2,1,substitute_fielder,4,0,0,8,12,0,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",2,1,Piyush Chawla,4,0,0,0,4,0,0,0
2023,1359543,MI v SRH,MI,SRH,"Wankhede Stadium, Mumbai",2,1,Jason Behrendorff,4,0,-4,0,0,0,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",1,2,Nicholas Pooran,4,86,0,0,90,1,0,1
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",1,2,Ravi Bishnoi,4,2,62,16,84,1,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",1,2,Krunal Pandya,4,11,33,8,56,1,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",1,2,Yash Thakur,4,0,48,0,52,1,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",1,2,Krishnappa Gowtham,4,14,27,0,45,1,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",1,2,Prerak Mankad,4,31,0,8,43,0,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",1,2,Quinton de Kock,4,32,0,6,42,0,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",1,2,Ayush Badoni,4,29,0,0,33,0,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",1,2,Naveen-ul-Haq,4,2,-4,6,8,0,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",1,2,Karan Sharma,4,3,0,0,7,0,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",1,2,Mohsin Khan,4,0,0,0,4,0,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",1,2,Marcus Stoinis,4,-2,0,0,2,0,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",2,1,Rinku Singh,4,95,0,0,99,1,1,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",2,1,Shardul Thakur,4,3,44,16,67,1,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",2,1,Jason Roy,4,62,0,0,66,1,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",2,1,Sunil Narine,4,1,52,0,57,1,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",2,1,Vaibhav Arora,4,1,50,0,55,1,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",2,1,Venkatesh Iyer,4,33,0,16,53,1,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",2,1,Harshit Rana,4,0,27,8,39,0,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",2,1,Varun Chakravarthy,4,0,25,0,29,0,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",2,1,Andre Russell,4,9,0,8,21,0,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",2,1,Nitish Rana,4,9,0,0,13,0,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",2,1,Mandeep Singh,4,0,0,8,12,0,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",2,1,Rahmanullah Gurbaz,4,8,0,0,12,0,0,0
2023,1359542,KKR v LSG,KKR,LSG,"Eden Gardens, Kolkata",2,1,Suyash Sharma,4,0,0,0,4,0,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1,2,Ruturaj Gaikwad,4,108,0,16,128,1,1,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1,2,Devon Conway,4,116,0,0,120,1,0,1
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1,2,Deepak Chahar,4,0,91,0,95,1,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1,2,Maheesh Theekshana,4,0,74,0,78,1,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1,2,Matheesha Pathirana,4,0,54,0,58,1,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1,2,Ravindra Jadeja,4,25,19,0,48,1,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1,2,Tushar Deshpande,4,0,27,8,39,1,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1,2,Shivam Dube,4,28,0,0,32,1,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1,2,Moeen Ali,4,0,0,16,20,0,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1,2,Ajinkya Rahane,4,0,0,8,12,0,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1,2,Ambati Rayudu,4,0,0,8,12,0,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1,2,MS Dhoni,4,5,0,0,9,0,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",2,1,David Warner,4,113,0,0,117,1,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",2,1,Chetan Sakariya,4,0,25,0,29,1,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",2,1,Anrich Nortje,4,0,23,0,27,1,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",2,1,Khaleel Ahmed,4,0,21,0,25,0,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",2,1,Aman Hakim Khan,4,8,0,8,20,0,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",2,1,Axar Patel,4,18,-2,0,20,0,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",2,1,Yash Dhull,4,14,0,0,18,0,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",2,1,Rilee Rossouw,4,-2,0,8,10,0,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",2,1,Prithvi Shaw,4,6,0,0,10,0,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",2,1,Lalit Yadav,4,2,-6,8,8,0,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",2,1,Phil Salt,4,3,0,0,7,0,0,0
2023,1359541,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",2,1,Kuldeep Yadav,4,0,-4,0,0,0,0,0
