match_id,match_number,team1,team2,toss_winner,toss_decision,winner,venue_id,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets,precipitation,temperature_2m,relative_humidity_2m,dew_point_2m,rain,wind_speed_100m
1152553,43.0,Perth Scorchers,Melbourne Renegades,Perth Scorchers,field,Melbourne Renegades,3404,48,7033,611,85,429,28,0.0,25.691,44.10855,12.231001,0.0,31.24181
1152554,44.0,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,Hobart Hurricanes,905,79,11709,974,167,662,56,0.0,24.5455,47.62545,12.555499,0.0,20.81112
1152555,45.0,Sydney Sixers,Adelaide Strikers,Sydney Sixers,field,Sydney Sixers,132,83,11551,1025,179,667,60,0.0,24.977,74.54192,20.067,0.0,30.086239
1152556,46.0,Melbourne Renegades,Sydney Thunder,Melbourne Renegades,bat,Melbourne Renegades,1177,69,10067,853,151,556,52,0.82,27.355,57.91648,18.285,0.82,31.029242
1152557,47.0,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers,3009,11,1383,139,19,96,14,0.0,14.045,42.301773,1.1850001,0.0,19.653687
1152558,48.0,Brisbane Heat,Perth Scorchers,Brisbane Heat,field,Brisbane Heat,209,71,10608,908,129,636,40,0.0,25.076,73.05078,19.906,0.0,18.141285
1152559,49.0,Sydney Sixers,Sydney Thunder,Sydney Sixers,field,Sydney Sixers,132,83,11551,1025,179,667,60,0.08,23.286999,87.772545,21.126999,0.08,15.835241
1152560,50.0,Adelaide Strikers,Brisbane Heat,Brisbane Heat,field,Brisbane Heat,131,90,13595,1085,211,719,76,0.0,26.01,40.543922,11.43,0.0,32.989983
1152561,51.0,Perth Scorchers,Melbourne Stars,Melbourne Stars,field,Perth Scorchers,3404,48,7033,611,85,429,28,0.0,25.620998,30.066437,6.2809997,0.0,23.267984
1152562,52.0,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,field,Hobart Hurricanes,905,79,11709,974,167,662,56,0.0,21.2155,67.80832,14.9155,0.0,15.175148
1152563,53.0,Brisbane Heat,Melbourne Stars,Brisbane Heat,field,Brisbane Heat,209,71,10608,908,129,636,40,0.0,23.476002,88.578064,21.476002,0.0,12.894182
1152564,54.0,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Adelaide Strikers,131,90,13595,1085,211,719,76,0.0,20.77,44.693016,8.29,0.0,31.155298
1152565,55.0,Sydney Thunder,Hobart Hurricanes,Sydney Thunder,field,Sydney Thunder,757,32,4620,379,79,242,26,0.02,15.744,64.22945,8.924,0.02,22.842455
1152566,56.0,Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Melbourne Stars,61,89,12573,1109,172,721,56,0.0,22.637003,46.209717,10.417,0.0,24.937038
1152567,57.0,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,field,Melbourne Stars,905,79,11709,974,167,662,56,0.0,16.9355,68.29732,11.0455,0.0,24.592297
