venue_id,venue_lat,venue_long,venue_name,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets
2585,13.75398,100.50144,"Terdthai Cricket Ground, Bangkok",49,4711,596,134,292,51
3541,49.6643189,6.1278481,Pierre Werner Cricket Ground,3,394,37,6,26,5
1001,33.651478,73.075829,Rawalpindi Cricket Stadium,8,921,68,13,43,3
769,-45.866241,170.525711,"University Oval, Dunedin",3,530,39,5,32,0
3495,44.58333,26.16667,"Moara Vlasiei Cricket Ground, Ilfov County",22,2922,301,77,164,21
1031,-33.739555,18.997892,"Boland Park, Paarl",17,2501,194,46,120,10
34,52.936855,-1.133192,"Trent Bridge, Nottingham",93,13884,1152,226,776,65
179,53.818287,-1.58245,"Headingley, Leeds",72,11383,930,137,658,50
840,23.091478,72.597198,"Narendra Modi Stadium, Ahmedabad",49,7540,583,94,375,26
1409,54.58333,-5.93333,"Civil Service Cricket Club, Stormont, Belfast",16,1763,213,40,125,18
1675,17.1409666,-61.7948025,"Coolidge Cricket Ground, Antigua",11,1340,143,38,68,12
1695,-22.568577,17.089266,"Wanderers Cricket Ground, Windhoek",37,4154,404,98,235,38
3545,50.08804,14.42076,"Scott Page Field, Vinor",13,1746,146,35,82,11
3548,42.65,23.63333,"National Sports Academy, Sofia",16,2045,197,53,95,15
1870,35.8757921,14.4870671,Marsa Sports Club,54,7412,678,129,398,53
3562,51.3653292,6.6305686,Bayer Uerdingen Cricket Ground,35,4186,537,65,335,24
613,53.33306,-6.24889,"Castle Avenue, Dublin",8,1207,92,22,53,5
1988,55.6288169,12.4278587,"Svanholm Park, Brondby",11,1264,148,28,83,15
3567,40.69318,-8.47994,Gucherre Cricket Ground,6,855,66,18,34,5
3439,-2.0295414,30.1071343,"Gahanga International Cricket Stadium, Rwanda",113,12607,1498,384,770,139
3491,60.391243,25.1163573,Kerava National Cricket Ground,30,3462,395,60,247,19
848,25.331009,55.421043,Sharjah Cricket Stadium,52,7187,641,144,355,55
2646,0.06444,32.44694,Entebbe Cricket Oval,8,943,106,30,50,6
664,26.894014,75.803436,"Sawai Mansingh Stadium, Jaipur",80,11118,902,176,537,57
1920,32.197868,76.325928,"Himachal Pradesh Cricket Association Stadium, Dharamsala",22,3195,262,48,158,17
3572,34.6722849,32.8214704,Happy Valley Ground,13,1641,172,31,108,9
3571,-1.98658,30.06907,Integrated Polytechnic Regional Centre,34,3130,419,154,158,46
3574,6.5150095,3.3893947,University of Lagos Cricket Oval,5,422,76,24,38,6
2927,25.27932,51.52245,"West End Park International Cricket Stadium, Doha",39,5013,518,110,269,40
1985,17.103361,-61.78495,"Sir Vivian Richards Stadium, North Sound, Antigua",29,3586,355,72,202,26
261,-20.144848,28.588896,"Queens Sports Club, Bulawayo",20,2512,284,69,131,37
629,15.302065,-61.384655,"Windsor Park, Roseau, Dominica",4,470,47,8,33,3
2041,10.27479,-61.43422,"Brian Lara Stadium, Tarouba, Trinidad",51,6570,618,105,418,47
3601,51.047785,3.7815313,"Meersen, Gent",5,564,67,9,35,6
2471,50.71469,4.3991,"Royal Brussels Cricket Club Ground, Waterloo",10,1356,146,32,87,6
3602,60.29414,25.04099,Tikkurila Cricket Ground,21,2256,342,107,155,30
459,-20.165104,28.593288,Bulawayo Athletic Club,9,1185,119,27,59,19
3413,2.9347886,101.783381,"UKM-YSD Cricket Oval, Bangi",38,3494,453,96,240,48
1653,-45.016167,168.738525,"John Davies Oval, Queenstown",1,169,12,1,8,0
3603,44.80401,20.46513,Lisicji Jarak Cricket Ground,3,411,39,11,20,2
700,-1.28333,36.81667,"Gymkhana Club Ground, Nairobi",30,3278,429,94,227,28
311,-26.195204,28.317947,"Willowmoore Park, Benoni",23,2901,278,44,157,25
3610,-17.73381,168.32188,Vanuatu Cricket Ground,10,1290,146,28,87,8
3348,36.3572,139.5923,Sano International Cricket Ground,25,2101,333,94,158,24
2034,-5.26083,-79.96417,"St Albans Club, Buenos Aires",13,1227,179,47,99,12
325,-5.26083,-79.96417,"Belgrano Athletic Club Ground, Buenos Aires",10,1215,128,47,46,12
267,-5.26083,-79.96417,"Hurlingham Club Ground, Buenos Aires",15,1518,252,51,126,20
2587,22.31935,114.17136,"Mission Road Ground, Mong Kok, Hong Kong",24,2902,322,62,191,29
3632,42.09504,-83.18965,Europa Sports Complex,17,2047,234,62,115,19
3634,55.67594,12.56553,"Solvangs Park, Glostrup",2,194,34,6,20,3
3083,55.9708157,-3.2078125,"Goldenacre, Edinburgh",12,1524,158,31,102,11
2198,3.1412,101.68653,"Bayuemas Oval, Kuala Lumpur",51,4441,690,207,304,67
45,51.483738,-0.114722,"Kennington Oval, London",94,13430,1098,216,718,52
2815,21.2033903,81.8230192,"Shaheed Veer Narayan Singh International Stadium, Raipur",21,2829,266,42,172,8
3644,47.73259,19.14749,"GB Oval, Szodliget",2,188,32,3,24,1
3638,30.29365,120.16142,Zhejiang University of Technology Cricket Field,6,698,74,13,52,5
3412,6.45407,3.39467,"Tafawa Balewa Square Cricket Oval, Lagos",24,2100,366,86,179,39
3433,27.718822,85.391339,Mulpani Cricket Ground,13,1761,167,38,96,11
2420,-34.61315,-58.37723,"St George's College Ground, Buenos Aires",12,906,180,56,76,24
3473,-8.5,115.0,Udayana Cricket Ground,28,3128,344,67,214,20
3640,32.768219,96.986351,"Grand Prairie Stadium, Dallas",7,1011,91,15,51,15
3662,40.7299492,-73.5758444,"Nassau County International Cricket Stadium, New York",8,788,107,19,72,4
680,13.142126,-61.21212,"Arnos Vale Ground, Kingstown, St Vincent",8,980,136,23,80,5
3666,25.27932,51.52245,University of Doha for Science and Technology,11,1440,156,38,88,7
2608,5.55602,-0.1969,"Achimota Senior Secondary School A Field, Accra",8,970,106,36,47,7
2609,5.55602,-0.1969,"Achimota Senior Secondary School B Field, Accra",6,625,94,22,46,5
3599,29.76328,-95.36327,Prairie View Cricket Complex,7,1004,89,14,52,11
2615,37.98704,-1.13004,La Manga Club Top Ground,2,321,30,5,18,2
3518,9.9526271,-84.2671899,Los Reyes Polo Club,4,303,73,33,22,5
3597,48.73333,1.36667,Dreux Sport Cricket Club,7,863,107,20,62,12
3566,41.933964,12.454297,Roma Cricket Ground,12,1375,175,51,98,13
3673,41.89193,12.51133,"Simar Cricket Ground, Rome",12,1554,180,32,107,5
3686,26.22983,78.17337,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",1,124,13,4,7,0
2390,49.48722,-2.58139,"Guernsey Rovers Athletic Club Ground, Port Soif",13,1449,196,29,116,15
3617,-1.28333,36.81667,"Sikh Union Club Ground, Nairobi",11,1471,138,26,87,10
3679,45.81444,15.97798,"Mladost Cricket Ground, Zagreb",5,441,72,16,41,7
2707,-13.83333,-171.76666,"Faleata Oval No 2, Apia",12,1546,163,38,94,4
1962,3.0478799,101.7133644,"Selangor Turf Club, Kuala Lumpur",7,892,94,13,51,9
2394,-6.82349,39.26951,"Gymkhana Club Ground, Dar-es-Salaam",7,403,102,49,30,14
2075,-6.83523,39.19597,University of Dar-es-Salaam Ground,7,371,84,33,30,11
2979,37.5400895,126.6684868,"Yeonhui Cricket Ground, Incheon",34,2614,458,131,140,64
1545,36.21274,-121.12603,"Maple Leaf North-West Ground, King City",8,928,125,18,74,8
1434,7.859535,80.633949,Rangiri Dambulla International Stadium,5,654,77,20,36,8
3609,-22.74389,-43.7075,Sao Fernando Polo and Cricket Club,2,210,29,5,20,1
